review_id,product_sku,product_name,brand,marketplace,review_date,review_date_raw_epoch_ms,rating,review_title,review_text,verified_purchase,helpful_votes,reviewer_id,source_ingested_at
CR-000001,B0000AUTU3,Sharper Image SI637BLK Ionic Breeze Quadra Silent Air Purifier,SHARPER IMAGE,amazon_us,2004-01-11,1073781256000,5.0,Absolute Must Have Appliance,"I have the Quadra Ionic Breeze and several HEPE air filters.  I also have several smaller bathroom-size Ionic breezes around the house.  They make a BIG difference in the quality of the air.  Even with my HEPA filters, the ionic breeze pulls lots of junk out of the air.  This may be expensive but it is worth it.",false,1,AE672JSGBTUTOQJSNIJZUJOYYX3Q,2026-08-26T09:00:00+02:00
CR-000002,B0000AUTU3,Sharper Image SI637BLK Ionic Breeze Quadra Silent Air Purifier,SHARPER IMAGE,amazon_us,2004-10-14,1097796662000,1.0,Silent Only If You Are Deaf,"Here are the facts:  I just received my second warranty replacement Quadra in three years (thank goodness they have a five year warranty!).  (My brother is on his fourth in three years.)  Even though I kept the unit clean and followed Sharper Image's instructions, each unit just suddenly died - failed to turn on.<br /><br />Regarding Sharper Image's claim of being silent, my units were  anything but.  Even after thorough cleaning the units hummed.  They were loud enough that I had to turn them off at night in order to sleep.  This ""new"" third one hummed right out of the box!<br /><br />Will I purchase another one?  No.",false,11,AH7FCLR2YLJDKT7CLMIGAJ5QICNA,2026-08-26T09:00:00+02:00
CR-000003,B0000AUTU3,Sharper Image SI637BLK Ionic Breeze Quadra Silent Air Purifier,SHARPER IMAGE,amazon_us,2005-03-15,1110931162000,1.0,OVERPRICED AND OVERHYPED,"I'm a clean freak. The thought of having a product clean and freshen the air really appealed to me so I bought 4 Ionic Breezes for a 2700 sq. ft. home thinking that I would see a reduction in dust around the house. Wrong! Sure they collect dust on their metal plates but those small surfaces don't compare to the dust that still collects on my dresser, tables, floors and everywhere else. You would need 1 Ionic Breeze per Square foot in your house to ever see a measurable reduction in surface dust. I would have been happy to see a 25% reduction in dust but I'm not even seeing a 1% reduction. They must be cleaned one a week or else they will hum. We keep our home clean by removing our shoes at the door, by vacuuming at least twice a week, by keeping the windows closed and using the air central air conditioning system when necessary (with clean filters). As a room deodorizer I would give it 3 stars as it can freshen the air effectively within a few hours except for something extreme like cooking fresh fish. Cleaning the air from this odor can take 5-6 hours. By the way, I bought my units at the Sharper Image auction site and paid $150 each. Even at this price I consider them overpriced. They seem to have an unlimited supply of these refurbished units at their auction site which makes you wonder why they have so many returns. The idea of improving the air quality in a home is worthwhile but cannot be accomplished with this Sharper Image product.",false,16,AFMAXC6J6L7NOB75EKKCJJCFO7MQ,2026-08-26T09:00:00+02:00
CR-000004,B00006WNMX,DeLonghi DAP130 Freshzone Air Purifier with 130 CADR,De'Longhi,amazon_us,2005-04-11,1113244847000,5.0,Great Price & Performance,"I was able to buy this model on Amazon for about $70 in March.<br /><br />The unit is large, but is light-weight and looks good in any room.  The HEPA filter does a wonderful job of cleaning the air.  Our apartment is fairly old and does not have good air circulation, which resulted in isolated areas of mold growth during the winter.  After a month of continuous use (low during day, quiet at night), the air smells significantly better and there have been no occurences of mold growth in areas where we ran the air purifier.  The ionizer feature does a good job of restoring an ion balance to the room, and is easy to turn on and off separately from the fan.  I've read that it's important to not operate an ionizer for more than 2-3 hours per day, so it was important for me to find a purifier with a separately-controlled ionizer.<br /><br />Replacement filters costs between $28-$40 online, depending on where you look.  I plan on replacing the filter every three months.<br /><br />In all, I strongly recommend this air purifier based on its attractive price and performance.",true,11,AFXU5DKOCETPACDCEOVH3LWDPNWA,2026-08-26T09:00:00+02:00
CR-000005,B000BC8WRA,"ENVION CA200 Ionic Pro Medium Room Silent Compact Tower Air Purifier with High and Low Settings, Removes Pollen, Smoke, and Irritant Particles, Black",Envion,amazon_us,2006-02-25,1140876408000,5.0,Wonderful product!!,"I have only had the Ionic Pro Compact for a few days and it is really living up to what I have heard and read about it. From the moment I turned it on, I had a sense that it was doing wonderful things. But I couldn't really tell. So I had to put it to a test. I cooked up a big batch of sausage and peppers, New York Italiano style, and really stunk up my apartment.(I have a three bedroom 1,050 sq. ft. place.) I left to go to a hockey game which took about 2 and 1/2 hours.(We lost. Damn.) By the time I got back you couldn't tell if anyone had cooked Macaroni and Cheese. Amazing!! Not a single whiff of anything. Dusting is a big problem for me. I fri***n hate it. Now I don't see that I am going to have to dust very often at all. The particles are right there for me to see on the grids. Wonderful product. I am recommending it to all my friends. And I am going to get a second for my bedroom. One compact isn't enough for this much space. And I don't know if a tower one will be good to just be in one room.",false,27,AECO2GPKYTQ3RBZUFPO5ICYLELFA,2026-08-26T09:00:00+02:00
CR-000006,B00006WNMX,DeLonghi DAP130 Freshzone Air Purifier with 130 CADR,De'Longhi,amazon_us,2006-04-05,1144212081000,4.0,"Impressive performance, tasteful design","I bought this purifier for our house since our niece has allergies and often spends the night.  Our two cats shed a lot and often drive her allergies wild.  20 minutes after plugging this thing on, I noticed I could breathe easier, and the air smelled noticeably better.  I didn't even realize that my breathing was restricted, but here I am finding myself taking deep, unrestricted breathes of fresh clean air.  If it works this well for me, I'm sure our niece will find noticeable relief.<br /><br />The only downside I can see so far are that on its higher settings, the unit is loud.  On its lowest setting it's not even noticeable from a few feet away, but it doesn't seem to be pushing much air.  I find the second lowest setting the best compromise for noise/performance in my medium size bedroom.  It also moves quite a bit of air, so it can get cold if it's facing you, much like having a fan on.  Also, it is fairly large and takes up a good couple square feet of floor space.  It's wall mountable, but I imagine it would look a bit odd stuck up on a wall.",false,5,AH76LX3K66OZ42FL6QKKKPKYT6ZA,2026-08-26T09:00:00+02:00
CR-000007,B0006BAVNY,HOLMES HAP725-U 99.97% HEPA Air Purifier,Holmes,amazon_us,2006-04-20,1145555914000,5.0,"Good, basic, no frills, true HEPA filtration","I purchased this item because I had been looking for a reasonably priced true HEPA room air filter with no ionizer. I have heard conflciting information on the safety of ionizers which produce ozone in the home so I did not want that feature, though it is popular right now. I have pet birds which are high dander and wanted to filter the air in the room the birds are in, both for my health and the birds' health.<br /><br />I have been really happy with this product. The box says it is for a 16' x 16' room. I am using it in a 12' x 16' room and it seems to do the job. It is compact and is designed to sit on its end or on its side, whichever you prefer. It is beige and unobtrusive. The item is ready to go right out of the box - you just have to install the carbon filters (HEPA filters are pre-installed at the factory). Installing the filters is a snap. The air filter is simple to use. There is power button to turn it on and off and it has four operating speeds, 1 through 4. You can also set a timer function that allows you to set the filter to run for 1-16 hours and then automatically shut off. Impressively, the unit comes with a FIVE YEAR manuafacturer's warranty, something you don't see very often.<br /><br />I researched HEPA air filters extensively before this purchase. Some HEPA filters cost $50-70 each to replace! This unit's filters are readily available in Wal Mart and Target. Amazon sells a two pack of HEPA filters for this unit that currently costs $32 and a four pack of carbon filters that costs $12. The manufacturer says that the HEPA filters will need changed every 6-12 months and the carbon filters every 3-6 months. Keep in mind that this unit uses two HEPA and two carbon filters. The unit also has indicator lights for each filter to tell you when they need changed. I'll probably spend $88 a year on the filters but that is much lower than for many other HEPA filters I looked at!<br /><br />I run the unit on speed ""3"" for about 12 hours per day though you could run the unit continuously. It does a great job of circulating the air. Within the first day I noticed a marked improvement. I can't see very much dust in the air anymore, even in bright light (when you can see the floating dust particles in a room). Also, lots of the bits of feathers and fluff from the birds that used to float throughout the rest of the house are gone. The room did not have an obvious odor before but I really think the carbon filters have made the room smell ""fresher.""<br /><br />The only drawback I can think of is that is it somewhat noisy at speeds 3 and 4 which are the most effective speeds. I don't consider this a problem because I am fond of white noise in the background. Some people might find it too noisy at the higher speeds.<br /><br />Update November 2006: After five months of continuous use this filter stopped working in September 2006. I followed the instructions for returning the item for warranty service which required me to pay for return shipping and also pay to ship the item back. Within about a week Holmes had sent me a brand new filter that is actually a newer, larger, model worth more than the one that had failed. They gave me no hassle and replaced the filter with a better model. This new model is working fine so far. I am pretty pleased with Holmes prompt replacement.",true,56,AELW7T4ACTQXSX5QJORKFGDDF7XQ,2026-08-26T09:00:00+02:00
CR-000008,B0000AUTU3,Sharper Image SI637BLK Ionic Breeze Quadra Silent Air Purifier,SHARPER IMAGE,amazon_us,2006-07-15,1152970941000,2.0,OVERPRICED AND DON'T WORK!!!,"I own 2 Quadras and live in a small apartment (700 sq ft). I've been using my units for over a year. I was hoping to see a significant reduction in dust on my furniture. Not so. I still dust 2 times a week and see no difference from before I owned them. And QUIET! HARDLY!!! After thoroughly cleaning and turning the units as per the instructions, the units continue to HISS and SIZZLE continuously. I actually turn them off when I leave the apartment now as I am afraid they are a fire hazard! DON'T WASTE YOUR MONEY!<br /><br />I'll NEVER buy another Sharper Image product.",false,5,AGCMY7JXBP3BMDBRGIVABLJRQQ5A,2026-08-26T09:00:00+02:00
CR-000009,B0006BAVNY,HOLMES HAP725-U 99.97% HEPA Air Purifier,Holmes,amazon_us,2006-12-08,1165544543000,5.0,Great Air Purifier / fan!,"We have had this model for a year now and it works great!  It does a fantastic job removing dust from the air.  We live in New York City, so there is a lot of dust and grime in the air, and we both have allergies.  With this air purifier running, we have no problems breathing and can sleep soundly.  Now we have a newborn and feel confident that the air in the bedroom is clean and fresh.  It really circulates the air well.  I change the filters every 4-5 months (you can purchase them for only $9.99 on Amazon.com for 4 filters!).<br /><br />This is a great investment if you want ceaner air in your home.",false,8,AFEUDM4YGZ2O5O6FJ7TES2G7AKKQ,2026-08-26T09:00:00+02:00
CR-000010,B07R81N4X9,"RabbitAir MinusA2 Ultra Quiet HEPA Air Purifier - Stylish, Efficient and Energy Star (SPA-780A, Black, Germ Defense)",Rabbit Air,amazon_us,2007-01-27,1169860816000,5.0,So far so good.,"I just purchased this item for two months. It works OK. My living area is very dusty, I thought I could use it to reduce the dust, and reduce the allergy. This machine is quiet, not bad looking.",false,1,AH3F7K3ODOYMG3PBGOTCMXNWNEVA,2026-08-26T09:00:00+02:00
CR-000011,B0000AUTU3,Sharper Image SI637BLK Ionic Breeze Quadra Silent Air Purifier,SHARPER IMAGE,amazon_us,2007-03-11,1173642565000,1.0,Keep your money!,"I bought two and one started giving off a shocking noise within 15 minutes of use and then died. The other one went for a day and then did the same thing. I made the mistake of buying mine on Ebay, brand new... the seller offered to fix them if I paid the $40 to ship them back. I don't think so, they didn't work in the first place so why should I have to pay more?",false,3,AGKZWDBS2NDOO532JRVF3DJQKMLA,2026-08-26T09:00:00+02:00
CR-000012,B0006FLJWW,Heaven Fresh XJ 2000 Ionic Air Purifier,Heaven Fresh,amazon_us,2007-03-12,1173723982000,4.0,"Worked pretty well, died after about 3 years","I may be a smoker but I don't like myself or my place smelling like smoke so I got one of these a few years ago since the price was right and the design is nice and unobtrusive . I must say It seems to have worked pretty well, although not always completely silent (it made buzzing sounds sometimes) I rarely noticed smoke odor in my home or on my clothes. Then one day I noticed it was no longer working with no warning it just died, I cleaned the collection plate fairly regularly and everything. It just stopped. I went out and bought something at the store that had a filter, a fan and claimed to have and ionizer. I don't like it at all, it seems to just blow smoke around and I'm going to get a new ionizer soon. Maybe I'll get one of these again, not sure I'm going to shop around a bit first.",false,13,AG7MGOIZRR22JAGA3IQAEHDZRFBA,2026-08-26T09:00:00+02:00
CR-000013,B07R81N4X9,"RabbitAir MinusA2 Ultra Quiet HEPA Air Purifier - Stylish, Efficient and Energy Star (SPA-780A, Black, Germ Defense)",Rabbit Air,amazon_us,2007-05-16,1179275276000,5.0,Rabbit Air..works for rabbits!,"I bought this because I have indoor house rabbits, and it has really helped with the fur that has been flying in the air.  The detectors it has when you put it on the auto setting really work too, when my boyfriend comes over, if he is wearing a strong cologne, the Rabbit Air senses it and kicks up to the HIGH setting! I have had it turned off for the past two days because I need to clean the filter, and I am already sneezing twice as much as when it was on...",false,11,AHFZFYOV62KI3M64MYRIXZFWBI5Q,2026-08-26T09:00:00+02:00
CR-000014,B000EHJ8FC,Bell and Howell Ionic Whisper Air Purifier and Ionizer,Bell+Howell,amazon_us,2007-05-29,1180460255000,1.0,Junk,I cannot recommend this product to anyone considering buying it.  It's tiny and cheaply made of lightweight plastic.  I don't think this thing could freshen a room the size of a cereal box.  The collection grid never accumulates any dirt or debris.  I don't think it's even working.,false,5,AEJN7DQBZYTE4T2E2XRDJAQHGFPA,2026-08-26T09:00:00+02:00
