review_id,product_sku,product_name,rating,review_title,review_text,hand_label,labeller_note
CR-000121,B07R81N4X9,"RabbitAir MinusA2 Ultra Quiet HEPA Air Purifier - Stylish, Efficient and Energy Star (SPA-780A, Black, Germ Defense)",3.0,Upgrade if $ is no object,"I originally purchased the BigoGS 580 and found the sensors not reliable in my unit. The sensors went from green to red for no apparent reason if I moved it a foot.  Instead of getting a replacement I switched to the MinusA2 Spa 700A (toxin remover) due to the 6 stage filtration. I live below two chain smokers and I want to ensure that I have the extra protection. I had the two units for about 2 days to 3 weeks so I can't comment on longevity.<br /><br />It does a great job removing pollen and odor like the BioGS. It is pretty quiet.  I don't even notice it on unless the room is completely silent.  I noticed that the silent & quiet modes are more noticeable than the BioGS.  I can hear the motor on the MinusA2 whereas on the BioGS I could not unless I was right next to it.<br /><br />The only drawback that this unit has is if the room is dark, it automatically switches to sleep mode and turn off the sensor light.  If you are living near smokers this does not work! Smoke could be drifting across my face and this unit does not adjust according to room condition. In order for it to do a thorough I have to leave it on low, med, high or turbo at night and this is not efficient use of energy.<br /><br />Pros: Sleek, quiet, 6 stage filtration, option to turn off mood light, particle sensor, great customer service<br /><br />Cons: lack of an odor sensor, black background make it tough to read the settings, auto mode not really 'auto' in the dark, cost of filters, bulky remote control<br /><br />The only feature that this unit has that the BioGS doesn't is 2 extra stages of filtration.  Is it worth the extra $60 to $140?  The MinusA2 filters also cost more and need to be replaced more often.  In my opinion, the BioGS is adequate if you are looking for a good air purifier.",,
CR-007930,B0776XKZ1Y,"KANBERRA GEL 524003 Natural Air Purifier Gel, 8-Ounce",2.0,Disappointed,It didn't really work for me.,,
CR-001880,B0BBV2Z7VG,"Alen BreatheSmart Classic H13 HEPA Air Purifier, Air Purifiers For Home Large Room w/ 1100 SqFt Coverage, Medical-Grade Air Cleaner for Pet Dander & Odor, up to 12 Mos. Filter Life, Oak",1.0,"INSANELY OVERPRICED, THIS FILTER IS NOT TRUE HEPA","This filter is not true HEPA, and it is totally NOT worth the price. For $600, you literally get a big fan wrapped in plastic. Nothing more. The sensor barely works and is pretty useless. The filter is awful, it is HEPA-type (not true HEPA) and it does not adhere to standards. The overwhelmingly positive reviews here were probably written by folks who have not tried those cheap filters on Amazon. Seriously, this filter performs the same way a $100 GermGuardian would, except the Germ Guardian one is TRUE HEPA which means it filters stuff out much more effectively.<br /><br />It looks pretty, but that's really just about it. I am disappointed in the fact that I spent $600 for something as useless as this. Alen must be making a huge profit margin. My GermGuardian filter works better than this, and it's six times cheaper.<br /><br />Also, upon turning on the unit, a very distinct toxic odor began coming from the unit. I thought this was supposed to be an air PURIFIER, not an air pollutant?",,
CR-010318,B08FD4MR1Z,"Elechomes Air Purifier for Home Large Room with Air Quality Monitoring: H13 True HEPA Air Filter Cleaner Covers 400ft² & CADR 300+, Ideal for Allergens Smoke Smokers Dust Odors Pollen Pet Dander",1.0,Filters are not available,"I liked this air purifier fine.  But since they are no longer making filters for it, it us absolutely useless.  It is a lot of money to spend for 3 months of clean air.",,
CR-006882,B07C1HTHY6,"Vivitar PA-705 Air Purifier and Ionizer, Black",2.0,"Smells like it produces ozone, perhaps quite a lot. That would be unhealthy, long term.","I bought this to experiment with, because I thought it said it had UV (if it were UVC, contained inside, it would kill viruses passing through, without endangering the health of the user too much, unless the ozone production from the UVC were high). My plan was to put it before a HEPA and activated carbon filter, and hopefully wind up with cleaner, safer, air on the other side of that. But I don't see UVC in there, although there could be an LED inside which is well hidden (I haven't taken it apart). This looks like an electrostatic precipitator, of a type which was common years ago, before ozone production (a common side effect, if they are not carefully designed) concerned people.  I will try it anyway, and, it might be useful in unoccupied places where odor, and perhaps virus, reduction may be the effect, and useful. Basically, it might be an inexpensive ozonator (the kind of device you run overnight to remove smoke odors and such).",,
CR-009907,B07VXKR2L4,EdenPURE OxiLeaf II Thunderstorm Air Purifier Odor Remover with Portable USB travel plug,3.0,Worst Customer support ever,"I've purchased several of these and they seem to work as advertised. However, one of my units is not working and when I tried to exercise my warranty, I was completely taken back by the phone rep.<br />To start with, she seemed to have no knowledge of the existence of the Eden Pure Oxleaf II Thunderstorm. She'd never heard of it. I spent so much time waiting for her computer to supposedly restart that I finally had to hang up.<br />I probably should have done some research to see who else makes a similar product but my Edenpure heaters have served me so well I just assumed this was the best bang for the buck...maybe not.",,
CR-000302,B000I0WQWC,"Holmes Arm and Hammer Air Purifier Booster Filter, 4 Pack",1.0,Doesn't fit tabletop HAP412,"I don't know why HAP412 is listed for this filter!  It is too short and too skinny.  And Holmes does NOT list this as OK for HAP412.  And they don't list a replacement.  I have another Holmes that uses bigger filters that I can cut down, but what a pain.",,
CR-002471,B01MF8W1D1,WSTA Portable Plug In Air Purifier,1.0,Not for stinky cat odor,This did not help with our cat litter odor,,
CR-002621,B0BBV2Z7VG,"Alen BreatheSmart Classic H13 HEPA Air Purifier, Air Purifiers For Home Large Room w/ 1100 SqFt Coverage, Medical-Grade Air Cleaner for Pet Dander & Odor, up to 12 Mos. Filter Life, Oak",2.0,Poor customer service,"Had a technical question, contacted company, got a very unfriendly and curt woman with a heavy accent that I could<br />hardly understand. Will see if what she said works and will review again when I am sure the unit is working correctly. So far two stars for customer service and are they based in the US?",,
CR-005480,B082Y2PK2G,"Aneys Air Purifier, Cigarette and Odor Eliminator, Smoke Purifier Perfect for Home and Office",1.0,Never buying again.,I can tell you this was the size I ordered. But it doesn’t change anything in the room if you have to say by smell.,,
CR-007924,B07KXBX32V,"Dyson Pure Hot+Cool™ HP01 Air Purifier, Heater & Fan - White/Silver",3.0,"Crazy Marketing; Why Is ""Cool"" In the Name?","Pros:<br />* WALL-E styling<br />* Fan reasonably quiet (though not silent)<br />* Remote cleverly magnetized to top<br /><br />Cons:<br />* Doesn't actually cool.<br />* Has ""Cool"" in the name.<br />* What the af?<br />* Maybe they mean the styling is ""cool.""<br />* Despite Sir James' enthusiasm for the air movement (which all his products do, one way or another), my art deco replica blade fan feels like it moves more air.<br />* No wireless of any kind (WiFi or Bluetooth), so not compatible with Dyson's own Android/iOS app.<br /><br />It does look gorgeous. It does move air. Does it purify? No way to know because I returned it very quickly over the ""cool"" issue (and I don't think I have any way to test). That word borders on the deceptive. It *does* seem to heat.<br /><br />$500 to buy, then $70/yr in filters. Is that worth it? Welllllllll... Maybe if it did what its listing said. As it is: Returned.",,
CR-008116,B082Y2PK2G,"Aneys Air Purifier, Cigarette and Odor Eliminator, Smoke Purifier Perfect for Home and Office",1.0,No Bueno,Had no effect in the house,,
CR-006238,B09F3Z9BH6,Air Purifier Plug in for Home,4.0,Fresh Clean Air,They seem to be an effective little gadget for the price. I got them to help reduce odors in the small places of my apartment. One for the kitchen and one for the closet.  Cooking smells don't seem to linger as long as they used to.,,
CR-008599,B0915LHCS2,"AZEUS True HEPA Air Purifier | for HOME, for Large Room, Office or Commercial Space | Filter Pollen, Smoke, Dust, Pet Dander | Auto Mode | Air Quality Sensor | Night Light",2.0,"A mediocre product, at best.","DISCLOSURE: This product was bought under another account, of which I live with that account holder. This review beholds my opinion, and none of which should be taken as scientific evidence (from a research firm).<br /><br />Abstract: We bought this in the beginning of 2021, in hopes that it would greatly reduce the following in the living/dining room:<br /><br />- The chances of transmitting the SARS-CoV-2 virus, known to cause COVID-19<br />- To reduce the prevalence of pet dander, dead skin cells and other dust particulates, therefore reducing the need to vacuum a fully carpeted area<br />- To control other VOCs (Volatile Organic Compounds) and odours<br />- Explore different brand names that are not native to our country (United States)<br />- Overall satisfaction and durability of the product<br /><br />The price as of the time was roughly $130 - $160, with included discounts on Amazon.<br /><br />Results: While we haven’t been able to verify *if* this was able to slow or stop the transmission of any viruses in particular, we also aren’t confidently certain *if* it made any significant improvement over the following *several months* since we bought this product. However, observing the filter appears that it has been doing its job, but we haven’t noticed any observable difference in controlling odours—if there were any, at all. However, this product shows quite a plethora of issues that were not only mere oversights, but they were also egregiously condoned to be the norm as per the company’s (azeus’ or Azeus’) standards.<br /><br />Details: First and foremost, we contacted their customer support after attempting to establish a warranty with them, which the product came with a pamphlet that claimed you can either get a free replacement filter (valued at $30 at least), or get a meagre $10 Amazon gift card. After uploading the screenshots as per their request, we opted for the free replacement filter. They, much to *our* surprise, *did not have any available on their end*. After some back-and-forth, we were left with no other option other than to allow them to give us a tiny return investment of $10 towards our Amazon gift card balance. We gave them the benefit of the doubt, since the supply chain during that time was severely affected, making availability on a *number* of products very scarce. How *that* came to pass was *also* just as peculiar: while I don’t know any intricacies involved, they ended up generating a gift card key/code at first, but the first one they gave turned out to be invalid or had already been used. So then they gave us another moments later, which that seemed to work. I don’t know if it took two or three attempts total to give us a working Amazon gift card code, but the way they went about it raised red flags to be quite honest: I thought all of this was purely shady business practises going on here. (I also want to note that I think they had an issue with us purchasing from an “unauthorised reseller” on Amazon, even though they were the *only choice on Amazon when we bought this air purifier*, which I think they used that as a reason to not honour either the warranty itself, or apply the warranty. Do not quote me on this one.)<br /><br />Taking a look at their main website, it is an exceptionally sterile, web-only business website with no known physical location able to be found from the naked eye. Not a whole lot is given in the way of showing any modicum of legitimacy towards the average consumer. Perhaps it is a *new* way of starting up a business? But to not give *any* address besides an e-mail address, whatsoever, makes things feels either completely unfamiliar, or utterly suspicious. Every business we’ve dealt with so far already *has* an established address available for the public. And given the way the customer support speaks, they appear to be somewhere overseas. Not only that, but these icons they use to represent themselves appear more or less as if they used a stock photo that you could normally find on Google Images. That, or it coincidentally is also a professional shot for a business. It’s honestly unnerving, considering almost every business I came in contact with for a web chat practically had *nothing* like that.<br /><br />Now back to the product, itself.<br /><br />When we bought this, it was (at the time of purchase) rated to purify up to 560 sq. ft. to my recollection; we have a 500 sq. ft. combined living and dining room. But about 2 – 5 months later, the manufacturer seemingly updated their product page, *now claiming* to purify up to 1,080 sq. ft. rooms. This is seemingly more than *double* in comparison to the initial rating. Yet, we have no idea *how* they managed to make a relatively tiny device pull off that much. I think that’s *really suspicious*, to be frank. Also, it's worth mentioning that the original product page that we bought this air purifier from is no longer available, which is why I am reviewing it on this product's page.<br /><br />When I examine the instruction manual, the fluency of English is at an acceptable state, noting some minor misspellings that most English-speakers would easily pick up, while there are some other unfamiliar phrasings used that is not widely accepted in the English language; again, this denotes that Azeus is *clearly* an overseas company that many can assume they are either from China, or somewhere within the “Middle East” (e.g. India). However, not *all* companies that use semi-fluent English originate *just* from these countries, either; other central European companies, such as “be quiet!” tends to not have the correct translation or phrasing of words translated from German to English at a similar rate. Though, the main issue tends to rear its ugly face, such as the feature of using the “ioniser”, which there is no real indication whether it is actually being used, and the UV bulb included in the product, which there is no indicator that it is—in fact—on, when you press the “UV” button. Interestingly enough, there is *no* button on the device for the UV bulb, either; it’s only unique to the remote. This is quite the massive oversight, indeed.<br /><br />However, every time we turn it on without changing the fan speed, it operated in a rather foreign fashion where I had not expected an air purifier of *any* calibre to do what was known later a preset cycle that *always* occurs every time it is turned on. I’m not particularly impressed with the inanely loud noise the turbine fan produces when it is at its highest; I find this embarrassingly unbearable and it makes conversations more likely to be hard to follow, and it can be difficult for people to focus in mere silence. Therefore, as time went on, the fan speed is *always* set to medium. The featured, yet overly simplified air quality indicator is semi-consistent, where you may not always be certain if it is truly accurate. We have no idea how they managed to make it “sometimes” detect bacteria and viruses, yet consistently detect odours and fine particulates/dust, and frankly it would be very resourceful if consumers had access to that level of information.<br /><br />When we used it for several months in total, we had not seen based on the instruction manual a “replace filter indicator” go off. In fact, the only thing that started to literally go off is the ioniser light, followed by the light for the selected fan speed on the device. This gives me even *far less confidence in this product* than they tried to let on, making me feel that, as my hunch dictated earlier, this was made to only be tossed out in the landfill after it met its very short-term use.<br /><br />I also want to make one thing very clear: having a convectional air purifier, on paper, is a great concept. However, the intake on both sides of the product (on the smaller edges of this oval-shaped air purifier) *clearly* shows just how restrictive the overall air flow is. It is a neat concept that allows it to stay comfortably snug in very compact environments; it does *not*, however, make a very effective air purifier by not fully utilising the full surface area of the composite filter when it comes to pulling the “dirty air” in thru its intake vents. Ideally, it’s a great idea to have air go thru as little resistance as possible in order to make *any* fan-driven device extremely effective at its intended purpose. The fact that this is making air go through the equivalent to two 90° angles, followed by a multi-layered (yet also very expensive: at least or more than $30 per piece as of this writing) filter makes people like me syncope from such a ridiculous design.<br /><br />Another note: I do think that the sleep mode functions as designed, noting that all lights go off after a brief period of time and reduces the fan speed at the lowest possible, making it virtually imperceptible while in operation. That’s a good plus. But! I don’t like how the lights, themselves, are unbearably bright: a light dimmer function would have been nice to have.<br /><br />Overall impressions: They are generally **low**. I’m very uncertain on purchasing a new filter for this product, and I’m concerned that they are intentionally ripping their customers a new one. I have a higher probability of trying to find options provided by manufacturers such as Honeywell (brand owned by Kaz USA, Inc.) and GermGuardian (their entity, Guardian Technologies, is now acquired by Lasko, LLC as of January 2021: *also* an American manufacturer long known for their budget-oriented fans with high marks), which are well-known, well-established brands in the United States.<br /><br />– End of review. Written on 30 November 2021, 1732 local time. –",,
