review_id,parent_asin,listing_asin,amazon_product_url,amazon_reviews_url,committed_raw_file,upstream_dataset_file,upstream_dataset_url
CR-000121,B07R81N4X9,B003CT55YW,https://www.amazon.com/dp/B07R81N4X9,https://www.amazon.com/product-reviews/B07R81N4X9,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-007930,B0776XKZ1Y,B003QJW5IC,https://www.amazon.com/dp/B0776XKZ1Y,https://www.amazon.com/product-reviews/B0776XKZ1Y,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-001880,B0BBV2Z7VG,B00APO426E,https://www.amazon.com/dp/B0BBV2Z7VG,https://www.amazon.com/product-reviews/B0BBV2Z7VG,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-010318,B08FD4MR1Z,B08FD4MR1Z,https://www.amazon.com/dp/B08FD4MR1Z,https://www.amazon.com/product-reviews/B08FD4MR1Z,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-006882,B07C1HTHY6,B01E97SR1S,https://www.amazon.com/dp/B07C1HTHY6,https://www.amazon.com/product-reviews/B07C1HTHY6,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-009907,B07VXKR2L4,B07VXKR2L4,https://www.amazon.com/dp/B07VXKR2L4,https://www.amazon.com/product-reviews/B07VXKR2L4,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-000302,B000I0WQWC,B000I0WQWC,https://www.amazon.com/dp/B000I0WQWC,https://www.amazon.com/product-reviews/B000I0WQWC,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002471,B01MF8W1D1,B01MF8W1D1,https://www.amazon.com/dp/B01MF8W1D1,https://www.amazon.com/product-reviews/B01MF8W1D1,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-002621,B0BBV2Z7VG,B018N4D94S,https://www.amazon.com/dp/B0BBV2Z7VG,https://www.amazon.com/product-reviews/B0BBV2Z7VG,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
CR-005480,B082Y2PK2G,B082Y2PK2G,https://www.amazon.com/dp/B082Y2PK2G,https://www.amazon.com/product-reviews/B082Y2PK2G,data/real_raw/reviews_hk.jsonl,raw/review_categories/Home_and_Kitchen.jsonl,https://huggingface.co/datasets/McAuley-Lab/Amazon-Reviews-2023/blob/main/raw/review_categories/Home_and_Kitchen.jsonl
