review_id,product_sku,rating,review_title,review_text,hand_label,labeller_note
FCR-324096,B0915YCWD3,1.0,Terrible,"This product is loud, does not mop as it was implied and spits out all it picks up. Terrible product",,
FCR-062550,B00AZBIZTW,1.0,It broke. I don't use it very often. ...,It broke. I don't use it very often. May be once a month.<br />The problem: The belt just won't stay on. It slips out every time I turn it on.,,
FCR-103416,B01AVXFD9S,3.0,Three Stars,"This one was defective, but also, It can not be used in the bath room.",,
FCR-077286,B0070YQP6M,1.0,didn't work for me,never worked from day one...waste of my money.,,
FCR-100552,B07CQFHDN7,5.0,Buy It,"I have a Siberian Husky whose shedding is incredible. My old vacuum could barely get any hair out of the carpet, so I had pretty much given up on vacuums. I bought this vacuum on Prime Day because I thought I might as well give it a shot. Absolutely stunningly incredible. The hair is gone. This might be the best vacuum I've ever used. Honestly one of the best purchases I've ever made.<br /><br />One con: when I go to empty the dust trap—most of the time—the dust and hair do not fall out, and I have to open the top of the trap and dump it that way or dig it out with my hands.",,
FCR-177444,B075DZY7FR,5.0,no complaints,vaccuming,,
FCR-052897,B001PB8EJ2,4.0,Great Product,Works Great!  Very easy to use.  Good power suction.,,
FCR-018645,B00AZBIZTW,2.0,"Horrible for fine dust, pet dander, etc","I mistakenly bought this based on others' reviews. The good: it's light, bagless, inexpensive, all that. The bad: The hose clogs easily because of the many twists and turns it takes as the dirt goes through it to get into the canister. The filter is more like a sponge than a real filter, imagine how easily your kitchen sponge would clog if you wiped it across a pile of dirt. We have to clean the sponge during use, not just after. What good is a lower price when it doesn't do the job?",,
FCR-339372,B09YZ952RY,3.0,Great Buy,"When I first purchased the vac, it was for carpets with a pet, it was great, moved and have hard flooring and it's amazing.  I just realized I never received the remote.  Is it possible to obtain one?",,
FCR-114975,B00XBRYA28,2.0,Does pick up hair nicely when it's charged,had less than a year and vacuum doesn't go back to base.  Base doesn't charge now.  Does pick up hair nicely when it's charged.  Argh!,,
FCR-345340,B0BVY4HFKZ,3.0,Battery time,"While the unit has its idiosyncrasies, it does the job. The major objection is the battery is only good for 30 minutes, and it takes 4 hos to recharge.  It would be better if it was separate and have an alternate",,
FCR-047366,B092SJ1JG6,5.0,Love it. So easy to use and gets the ...,Love it.  So easy to use and gets the hair up so quick.  Maybe it's me but I feel like I have to empty it everyone I use it.  It could just be my dog sheds a lot.,,
