term,n_negative,n_total,lift
don't waste money.,307,323,4.4292
what waste,302,332,4.2389
completely stopped,283,318,4.1471
less months,507,597,3.9575
don't waste,871,1040,3.9028
even last,248,302,3.8268
waste time,553,679,3.7953
will returning,336,415,3.7729
broke within,369,457,3.7627
work all.,406,504,3.7539
doesn't work.,375,469,3.726
within months,265,333,3.7084
don't waste money,381,481,3.6912
even pick,289,365,3.6897
will never buy,458,581,3.6735
months stopped,320,407,3.6639
stopped working after,1201,1534,3.6484
service center,228,292,3.6386
time money,224,287,3.6371
save yourself,263,337,3.6367
working after months,225,289,3.628
went use,218,283,3.5897
poor suction,220,286,3.5846
first months,222,289,3.5797
authorized,227,298,3.5497
after less,394,518,3.5445
stopped charging,331,436,3.5378
working after,1606,2119,3.5318
worked great first,386,510,3.527
less year,668,887,3.5095
won't even,229,306,3.4874
don't buy,664,894,3.4611
when worked,259,350,3.4484
first month,233,315,3.4469
defective.,273,370,3.4383
honor,225,305,3.4377
after months.,666,907,3.4218
buyer,425,579,3.4206
stopped working,3600,4911,3.416
less year.,218,298,3.409
spits,356,487,3.4065
save money,735,1008,3.3979
quit working,537,739,3.3862
lasted months,286,394,3.3827
never buy another,232,320,3.3785
repair shop,273,377,3.3745
policy,272,379,3.3444
stopped working.,1648,2300,3.339
buy something,300,420,3.3286
hold charge.,256,359,3.323
will longer,201,282,3.3215
will charge,227,319,3.3161
better off,276,389,3.3063
sending back,233,329,3.3003
broke after,908,1287,3.2877
anything up.,227,323,3.275
lemon,250,356,3.2725
vacuum stopped working,209,298,3.2683
avail.,255,365,3.2556
high hopes,372,536,3.2342
great first,635,916,3.2305
constantly gets,289,417,3.2296
months battery,194,280,3.2287
response.,336,485,3.2284
quit working.,232,335,3.2272
well all.,193,281,3.2007
expired,274,399,3.2001
wanted love,333,485,3.1996
refused,309,453,3.1787
stopped.,263,387,3.1669
stopped,7796,11524,3.1525
followed instructions,269,398,3.1496
tried use,306,454,3.1409
when works,350,520,3.1365
after uses,200,298,3.1275
suck anything,232,346,3.1246
vacuum stopped,341,509,3.1219
cheaply made.,251,375,3.1191
broken.,542,810,3.1182
doesn even,192,287,3.1175
