review_id,product_sku,theme_id
FCR-000089,B0009ONZ8G,broke within
FCR-000118,B0009ONZ8G,service center
FCR-000125,B000FFQ554,completely stopped
FCR-000192,B0009ONZ8G,completely stopped
FCR-000300,B0009ONZ8G,completely stopped
FCR-000307,B0009ONZ8G,completely stopped
FCR-000321,B0009ONZ8G,service center
FCR-000413,B0009ONZ8G,don't waste money.
FCR-000428,B0009ONZ8G,completely stopped
FCR-000458,B0009ONZ8G,don't waste money.
FCR-000520,B0009ONZ8G,expired
FCR-000542,B000FFQ554,work all.
FCR-000555,B0009ONZ8G,cheaply made.
FCR-000589,B0009ONZ8G,better off
FCR-000629,B0009ONZ8G,even last
FCR-000658,B000N1XPG2,save yourself
FCR-000659,B0009ONZ8G,broken.
FCR-000660,B0009ONZ8G,completely stopped
FCR-000731,B0009ONZ8G,lemon
FCR-000763,B0009ONZ8G,don't waste money.
FCR-000816,B0009ONZ8G,don't waste money.
FCR-000817,B0009ONZ8G,completely stopped
FCR-000830,B000FFQ554,authorized
FCR-000875,B0009ONZ8G,spits
FCR-000884,B0009ONZ8G,went use
FCR-000918,B0009ONZ8G,spits
FCR-000946,B0009ONZ8G,less months
FCR-000959,B0009ONZ8G,completely stopped
FCR-000979,B0009ONZ8G,work all.
FCR-001049,B0009ONZ8G,refused
FCR-001058,B0009ONZ8G,refused
FCR-001077,B0009ONZ8G,completely stopped
FCR-001101,B0009ONZ8G,work all.
FCR-001111,B000FZX93U,even last
FCR-001128,B0009ONZ8G,completely stopped
FCR-001132,B0009ONZ8G,completely stopped
FCR-001136,B0068RU4LE,completely stopped
FCR-001139,B0009ONZ8G,anything up.
FCR-001163,B000FFUQZO,policy
FCR-001172,B0009ONZ8G,completely stopped
FCR-001178,B0009ONZ8G,policy
FCR-001193,B0009ONZ8G,completely stopped
FCR-001194,B0009ONZ8G,completely stopped
FCR-001214,B0009ONZ8G,completely stopped
FCR-001229,B0009ONZ8G,high hopes
FCR-001254,B0009ONZ8G,completely stopped
FCR-001289,B0009ONZ8G,don't waste money.
FCR-001321,B001PB8EJ2,don't waste money.
FCR-001335,B0009ONZ8G,policy
FCR-001355,B0068RU4LE,repair shop
FCR-001370,B0009ONZ8G,completely stopped
FCR-001400,B0009ONZ8G,completely stopped
FCR-001408,B0009ONZ8G,buyer
FCR-001416,B0009ONZ8G,cheaply made.
FCR-001422,B00022NGIE,policy
FCR-001431,B0009ONZ8G,even last
FCR-001439,B0009ONZ8G,completely stopped
FCR-001443,B0009ONZ8G,spits
FCR-001465,B000N1XPG2,completely stopped
FCR-001472,B0009ONZ8G,completely stopped
FCR-001477,B0009ONZ8G,cheaply made.
FCR-001480,B0009ONZ8G,completely stopped
FCR-001482,B001PB8EJ2,anything up.
FCR-001485,B001PB8EJ2,completely stopped
FCR-001531,B001PB8EJ2,buyer
FCR-001545,B001PB8EJ2,completely stopped
FCR-001590,B0009ONZ8G,completely stopped
FCR-001611,B0009ONZ8G,broken.
FCR-001631,B0009ONZ8G,completely stopped
FCR-001633,B000FFUQZO,completely stopped
FCR-001642,B001PB8EJ2,response.
FCR-001644,B0009ONZ8G,lemon
FCR-001673,B0009ONZ8G,completely stopped
