review_id,product_sku,rating,rating_trusted,theme
CR-000001,B0000AUTU3,5.0,true,none
CR-000002,B0000AUTU3,1.0,true,noise
CR-000003,B0000AUTU3,1.0,false,none
CR-000004,B00006WNMX,5.0,true,none
CR-000005,B000BC8WRA,5.0,true,none
CR-000006,B00006WNMX,4.0,true,noise
CR-000007,B0006BAVNY,5.0,true,reliability
CR-000008,B0000AUTU3,2.0,true,none
CR-000009,B0006BAVNY,5.0,true,none
CR-000010,B07R81N4X9,5.0,true,none
CR-000011,B0000AUTU3,1.0,true,none
CR-000012,B0006FLJWW,4.0,true,none
CR-000013,B07R81N4X9,5.0,true,none
CR-000014,B000EHJ8FC,1.0,true,none
CR-000015,B07R81N4X9,5.0,true,none
CR-000016,B07R81N4X9,5.0,true,none
CR-000017,B000KKXUMA,5.0,true,none
CR-000018,B00006WNMX,3.0,true,none
CR-000019,B00006WNMX,4.0,true,none
CR-000020,B07R81N4X9,5.0,true,none
CR-000021,B000VG7ZQ0,1.0,true,customer_service
CR-000022,B000VG7ZQ0,1.0,true,none
CR-000023,B07R81N4X9,5.0,true,none
CR-000024,B000KKXUMA,5.0,true,none
CR-000025,B000KKXUMA,4.0,true,none
CR-000026,B07R81N4X9,5.0,true,none
CR-000027,B000KKXUMA,1.0,false,none
CR-000028,B000KTKSSA,5.0,true,none
CR-000029,B07R81N4X9,5.0,true,none
CR-000030,B07R81N4X9,5.0,true,none
CR-000031,B000KTKSSA,5.0,true,none
CR-000032,B0006FLJWW,5.0,true,none
CR-000033,B000HECMEG,5.0,true,none
CR-000034,B000KTKSSA,4.0,true,none
CR-000035,B0017Z247E,5.0,true,none
CR-000036,B000KTKSSA,5.0,true,none
CR-000037,B000KTKSSA,5.0,true,none
CR-000038,B07R81N4X9,5.0,true,none
CR-000039,B000KTKSSA,1.0,false,none
CR-000040,B00143SXU6,1.0,false,none
CR-000041,B00143SXU6,5.0,true,none
CR-000042,B0006BAVNY,5.0,true,none
CR-000043,B000B1R9IY,5.0,true,none
CR-000044,B00143SXU6,1.0,true,none
CR-000045,B0015GJNYC,5.0,true,none
CR-000046,B0017Z247E,5.0,true,none
CR-000047,B000I0WQWC,1.0,true,none
CR-000048,B0017Z247E,5.0,true,none
CR-000049,B000B1R9IY,4.0,true,none
CR-000050,B0000AUTU3,3.0,true,none
CR-000051,B0000AUTU3,5.0,true,none
CR-000052,B000VG7ZQ0,1.0,false,none
CR-000053,B000BC8WRA,5.0,true,none
CR-000054,B001FWXKMC,1.0,true,none
