allowlist size: 572
...scanned 2000000 reviews, kept 9782
...scanned 4000000 reviews, kept 23554
...scanned 6000000 reviews, kept 37794
...scanned 8000000 reviews, kept 48066
...scanned 10000000 reviews, kept 57814
...scanned 12000000 reviews, kept 67717
...scanned 14000000 reviews, kept 77659
...scanned 16000000 reviews, kept 89617
...scanned 18000000 reviews, kept 99371
...scanned 20000000 reviews, kept 110096
...scanned 22000000 reviews, kept 121138
...scanned 24000000 reviews, kept 133544
...scanned 26000000 reviews, kept 143679
...scanned 28000000 reviews, kept 153402
...scanned 30000000 reviews, kept 167599
...scanned 32000000 reviews, kept 177539
...scanned 34000000 reviews, kept 187814
...scanned 36000000 reviews, kept 199512
...scanned 38000000 reviews, kept 211397
...scanned 40000000 reviews, kept 225895
...scanned 42000000 reviews, kept 241143
...scanned 44000000 reviews, kept 250579
...scanned 46000000 reviews, kept 260895
...scanned 48000000 reviews, kept 277402
...scanned 50000000 reviews, kept 289948
...scanned 52000000 reviews, kept 303295
...scanned 54000000 reviews, kept 317397
...scanned 56000000 reviews, kept 331359
...scanned 58000000 reviews, kept 342518
...scanned 60000000 reviews, kept 356562
...scanned 62000000 reviews, kept 365862
...scanned 64000000 reviews, kept 375966
...scanned 66000000 reviews, kept 383566
DONE. scanned=67409944 kept=388018
