allowlist size: 237
...scanned 2000000 reviews, kept 318
...scanned 4000000 reviews, kept 645
...scanned 6000000 reviews, kept 917
...scanned 8000000 reviews, kept 1256
...scanned 10000000 reviews, kept 1532
...scanned 12000000 reviews, kept 1816
...scanned 14000000 reviews, kept 2136
...scanned 16000000 reviews, kept 2415
...scanned 18000000 reviews, kept 2734
...scanned 20000000 reviews, kept 3023
...scanned 22000000 reviews, kept 3283
...scanned 24000000 reviews, kept 3604
...scanned 26000000 reviews, kept 3939
...scanned 28000000 reviews, kept 4233
...scanned 30000000 reviews, kept 4535
...scanned 32000000 reviews, kept 4821
...scanned 34000000 reviews, kept 5141
...scanned 36000000 reviews, kept 5441
...scanned 38000000 reviews, kept 5740
...scanned 40000000 reviews, kept 6069
...scanned 42000000 reviews, kept 6375
...scanned 44000000 reviews, kept 6637
...scanned 46000000 reviews, kept 6940
...scanned 48000000 reviews, kept 7299
...scanned 50000000 reviews, kept 7653
...scanned 52000000 reviews, kept 8052
...scanned 54000000 reviews, kept 8363
...scanned 56000000 reviews, kept 8682
...scanned 58000000 reviews, kept 9021
...scanned 60000000 reviews, kept 9340
...scanned 62000000 reviews, kept 9638
...scanned 64000000 reviews, kept 10086
...scanned 66000000 reviews, kept 10409
DONE. scanned=67409944 kept=10652
HK_REVIEWS_DONE
