review_id,product_sku,rating,rating_trusted,primary_theme,all_themes
CR-000001,VS-AP-4000i,4,true,none,
CR-000002,VS-AC-1000i,1,true,app_software,app_software|noise
CR-000003,VS-AP-8000i,3,true,none,
CR-000004,CP-DY-TP09,5,true,none,
CR-000005,CP-XM-4PRO,5,true,none,
CR-000006,CP-XM-4PRO,3,true,none,
CR-000007,VS-AC-1000i,1,true,reliability,noise|reliability
CR-000008,VS-AP-8000i,4,true,none,
CR-000009,VS-AP-2000,4,true,none,
CR-000010,VS-AC-1000i,3,true,filter_cost,filter_cost
CR-000011,VS-AP-8000i,3,true,none,
CR-000012,CP-LV-C400S,5,true,none,
CR-000013,VS-AP-2000,5,true,none,
CR-000014,VS-AP-3000i,5,true,none,
CR-000015,VS-AP-3000i,1,true,noise,noise
CR-000016,CP-BB-DM5440,5,true,none,
CR-000017,VS-AC-1000i,1,true,noise,noise
CR-000018,CP-LV-C400S,5,true,none,
CR-000019,VS-AP-4000i,1,true,connectivity,connectivity|filter_cost
CR-000020,VS-AP-2000,5,true,none,
CR-000021,CP-DY-TP09,5,true,none,
CR-000022,CP-DY-TP09,5,true,none,
CR-000023,VS-AP-3000i,3,true,filter_cost,filter_cost
CR-000024,CP-BB-DM5440,5,true,none,
CR-000025,CP-DY-TP09,5,true,none,
CR-000026,VS-AP-2000,5,true,none,
CR-000027,CP-DY-TP09,2,true,app_software,app_software|connectivity
CR-000028,VS-AP-2000,4,true,none,
CR-000029,CP-XM-4PRO,5,true,none,
CR-000030,VS-AP-2000,3,true,connectivity,connectivity
CR-000031,VS-AP-2000,2,true,app_software,app_software
CR-000032,VS-AP-4000i,2,true,reliability,reliability
CR-000033,CP-XM-4PRO,5,true,none,
CR-000034,VS-AC-1000i,4,true,none,
CR-000035,VS-AP-2000,4,true,none,
CR-000036,VS-AP-3000i,5,true,none,
CR-000037,VS-AC-1000i,4,true,none,
CR-000038,VS-AP-8000i,5,true,none,
CR-000039,VS-AP-8000i,3,true,app_software,app_software
CR-000040,VS-AP-3000i,5,true,none,
CR-000041,VS-AP-3000i,5,true,none,
CR-000042,CP-LV-C400S,5,true,none,
CR-000043,CP-LV-C400S,5,true,none,
CR-000044,VS-AC-1000i,5,true,none,
CR-000045,CP-XM-4PRO,5,true,none,
CR-000046,CP-DY-TP09,4,true,none,
CR-000047,CP-BB-DM5440,1,true,filter_cost,filter_cost|sensor_trust
CR-000048,VS-AP-4000i,5,true,none,
CR-000049,CP-BB-DM5440,5,true,none,
CR-000050,VS-AP-2000,5,true,none,
CR-000051,VS-AP-2000,5,true,none,
CR-000052,VS-AP-2000,4,true,none,
CR-000053,CP-DY-TP09,1,true,sensor_trust,sensor_trust
CR-000054,CP-LV-C400S,1,true,connectivity,connectivity
CR-000055,CP-BB-DM5440,5,true,none,
CR-000056,CP-LV-C400S,5,true,none,
CR-000057,VS-AC-1000i,5,true,none,
CR-000058,CP-BB-DM5440,3,true,none,
CR-000059,VS-AP-8000i,5,true,none,
CR-000060,CP-DY-TP09,5,true,none,
CR-000061,CP-DY-TP09,4,true,none,
CR-000062,VS-AP-3000i,4,true,none,
CR-000063,CP-BB-DM5440,1,true,app_software,app_software|reliability
CR-000064,VS-AP-3000i,5,true,none,
CR-000065,CP-XM-4PRO,5,true,none,
CR-000066,CP-BB-DM5440,4,true,none,
CR-000067,VS-AP-2000,4,true,none,
CR-000068,CP-XM-4PRO,5,true,none,
CR-000069,CP-DY-TP09,2,true,sensor_trust,filter_cost|sensor_trust
CR-000070,CP-DY-TP09,4,true,none,
CR-000071,VS-AP-8000i,5,true,none,
CR-000072,VS-AP-8000i,5,true,none,
CR-000073,VS-AC-1000i,4,true,none,
CR-000074,VS-AP-4000i,5,true,none,
CR-000075,VS-AC-1000i,5,true,none,
CR-000076,VS-AP-2000,4,true,none,
CR-000077,VS-AC-1000i,4,true,none,
CR-000078,VS-AC-1000i,4,true,none,
CR-000079,CP-XM-4PRO,5,true,none,
CR-000080,VS-AP-8000i,5,true,none,
CR-000081,VS-AP-2000,5,true,none,
CR-000082,VS-AP-8000i,2,true,app_software,app_software|sensor_trust
CR-000083,VS-AP-4000i,4,true,none,
CR-000084,CP-BB-DM5440,3,true,none,
CR-000085,VS-AP-3000i,4,true,none,
CR-000086,CP-DY-TP09,5,true,none,
CR-000087,VS-AP-2000,1,true,connectivity,app_software|connectivity
CR-000088,VS-AP-2000,4,true,none,
CR-000089,VS-AC-1000i,5,true,none,
CR-000090,VS-AP-4000i,5,true,none,
CR-000091,CP-XM-4PRO,4,true,none,
CR-000092,CP-LV-C400S,5,true,none,
CR-000093,VS-AP-4000i,3,true,none,
CR-000094,CP-DY-TP09,5,true,none,
CR-000095,CP-LV-C400S,5,true,none,
CR-000096,CP-LV-C400S,4,true,none,
CR-000097,VS-AP-8000i,5,true,none,
CR-000098,VS-AP-2000,5,true,none,
CR-000099,CP-DY-TP09,2,true,sensor_trust,sensor_trust
CR-000100,VS-AP-2000,1,true,filter_cost,app_software|filter_cost
CR-000101,CP-DY-TP09,5,true,none,
CR-000102,CP-DY-TP09,4,true,none,
CR-000103,VS-AP-3000i,1,true,connectivity,connectivity
CR-000104,VS-AP-2000,5,true,none,
CR-000105,VS-AP-8000i,1,true,reliability,reliability
CR-000106,VS-AP-4000i,4,true,none,
CR-000107,VS-AC-1000i,5,true,none,
CR-000108,VS-AP-2000,5,true,none,
CR-000109,VS-AP-2000,5,true,none,
CR-000110,CP-DY-TP09,4,true,none,
CR-000111,VS-AP-8000i,2,true,none,
CR-000112,CP-DY-TP09,4,true,none,
CR-000113,VS-AP-3000i,5,true,none,
CR-000114,VS-AP-3000i,4,true,none,
CR-000115,CP-DY-TP09,4,true,none,
CR-000116,CP-XM-4PRO,5,true,none,
CR-000117,VS-AC-1000i,4,true,none,
CR-000118,CP-XM-4PRO,5,true,none,
CR-000119,CP-LV-C400S,2,true,noise,noise
CR-000120,CP-BB-DM5440,5,true,none,
CR-000121,VS-AP-8000i,1,true,connectivity,connectivity
CR-000122,CP-XM-4PRO,4,true,none,
CR-000123,VS-AP-4000i,5,true,none,
CR-000124,VS-AP-8000i,5,true,none,
CR-000125,CP-DY-TP09,5,true,none,
CR-000126,CP-XM-4PRO,4,true,none,
CR-000127,CP-LV-C400S,5,false,app_software,app_software|connectivity
CR-000128,VS-AP-3000i,5,true,none,
CR-000129,VS-AC-1000i,5,true,none,
CR-000130,CP-LV-C400S,5,true,none,
CR-000131,CP-BB-DM5440,5,true,none,
CR-000132,CP-LV-C400S,4,true,none,
CR-000133,VS-AP-8000i,1,true,connectivity,connectivity
CR-000134,CP-BB-DM5440,5,false,app_software,app_software|filter_cost
CR-000135,VS-AC-1000i,5,true,none,
CR-000136,VS-AP-4000i,3,true,none,
CR-000137,CP-DY-TP09,5,true,none,
CR-000138,CP-DY-TP09,5,true,none,
CR-000139,VS-AP-4000i,2,true,reliability,reliability
CR-000140,VS-AP-3000i,5,true,none,
CR-000141,CP-DY-TP09,5,true,none,
CR-000142,CP-LV-C400S,4,true,none,
CR-000143,CP-LV-C400S,5,true,none,
CR-000144,VS-AP-3000i,5,true,none,
CR-000145,CP-DY-TP09,3,true,app_software,app_software
CR-000146,CP-DY-TP09,3,true,app_software,app_software
CR-000147,VS-AC-1000i,5,true,none,
CR-000148,VS-AP-3000i,3,true,none,
CR-000149,CP-LV-C400S,2,true,noise,noise|reliability
CR-000150,CP-DY-TP09,4,true,none,
CR-000151,CP-DY-TP09,5,true,none,
CR-000152,CP-BB-DM5440,4,true,none,
CR-000153,CP-BB-DM5440,4,true,none,
CR-000154,CP-BB-DM5440,5,true,none,
CR-000155,CP-LV-C400S,5,true,none,
CR-000156,CP-BB-DM5440,3,true,none,
CR-000157,CP-XM-4PRO,5,true,none,
CR-000158,CP-LV-C400S,5,true,none,
CR-000159,CP-DY-TP09,3,true,filter_cost,filter_cost
CR-000160,CP-DY-TP09,5,true,none,
CR-000161,CP-BB-DM5440,3,true,sensor_trust,sensor_trust
CR-000162,CP-XM-4PRO,5,true,none,
CR-000163,CP-LV-C400S,5,true,none,
CR-000164,CP-DY-TP09,5,true,none,
CR-000165,VS-AP-4000i,5,true,none,
CR-000166,CP-DY-TP09,5,true,none,
CR-000167,VS-AP-3000i,5,true,none,
CR-000168,VS-AP-2000,5,true,none,
CR-000169,VS-AP-4000i,1,true,reliability,noise|reliability
CR-000170,VS-AP-4000i,5,true,none,
CR-000171,CP-DY-TP09,4,true,none,
CR-000172,VS-AP-4000i,1,true,noise,noise
CR-000173,CP-LV-C400S,5,true,none,
CR-000174,CP-DY-TP09,5,true,none,
CR-000175,VS-AP-4000i,5,true,none,
CR-000176,VS-AP-2000,3,true,connectivity,connectivity
CR-000177,VS-AP-8000i,5,true,none,
CR-000178,VS-AP-8000i,3,true,noise,noise
CR-000179,VS-AC-1000i,4,true,none,
CR-000180,VS-AP-4000i,5,true,none,
CR-000181,VS-AC-1000i,4,true,none,
CR-000182,CP-LV-C400S,4,true,none,
CR-000183,VS-AP-2000,5,true,none,
CR-000184,VS-AP-4000i,4,true,none,
CR-000185,VS-AC-1000i,5,true,none,
CR-000186,VS-AP-3000i,5,true,none,
CR-000187,VS-AP-3000i,5,true,none,
CR-000188,CP-LV-C400S,5,true,none,
CR-000189,VS-AP-2000,2,true,filter_cost,filter_cost
CR-000190,VS-AP-2000,4,true,none,
CR-000191,CP-BB-DM5440,5,true,none,
CR-000192,VS-AP-4000i,3,true,none,
CR-000193,CP-DY-TP09,4,true,none,
CR-000194,CP-LV-C400S,4,true,none,
CR-000195,CP-BB-DM5440,5,true,none,
CR-000196,CP-BB-DM5440,5,true,none,
CR-000197,VS-AP-2000,5,true,none,
CR-000198,CP-LV-C400S,5,true,none,
CR-000199,VS-AP-4000i,5,true,none,
CR-000200,CP-XM-4PRO,5,true,none,
CR-000201,VS-AP-3000i,1,true,app_software,app_software
CR-000202,CP-LV-C400S,5,false,noise,noise|sensor_trust
CR-000203,VS-AP-2000,1,true,app_software,app_software
CR-000204,VS-AP-4000i,2,true,app_software,app_software|reliability
CR-000205,VS-AP-2000,2,true,noise,noise
CR-000206,VS-AP-2000,5,true,none,
CR-000207,CP-LV-C400S,4,true,none,
CR-000208,CP-BB-DM5440,5,true,none,
CR-000209,VS-AP-3000i,5,false,sensor_trust,reliability|sensor_trust
CR-000210,VS-AP-2000,5,true,none,
CR-000211,VS-AP-8000i,5,true,none,
CR-000212,VS-AP-3000i,5,false,reliability,noise|reliability
CR-000213,VS-AP-4000i,1,true,connectivity,connectivity
CR-000214,VS-AP-3000i,5,true,none,
CR-000215,CP-BB-DM5440,5,true,none,
CR-000216,CP-XM-4PRO,2,true,filter_cost,filter_cost
CR-000217,VS-AP-4000i,5,true,none,
CR-000218,CP-DY-TP09,5,true,none,
CR-000219,CP-DY-TP09,4,true,none,
CR-000220,CP-DY-TP09,3,true,connectivity,connectivity
CR-000221,VS-AP-4000i,5,true,none,
CR-000222,VS-AP-4000i,5,false,app_software,app_software
CR-000223,VS-AC-1000i,5,true,none,
CR-000224,VS-AC-1000i,5,true,none,
CR-000225,VS-AP-3000i,5,true,none,
CR-000226,CP-XM-4PRO,5,true,none,
CR-000227,CP-DY-TP09,5,true,none,
CR-000228,VS-AP-3000i,5,true,none,
CR-000229,VS-AP-8000i,5,true,none,
CR-000230,CP-LV-C400S,5,true,none,
CR-000231,VS-AP-4000i,1,true,connectivity,connectivity|filter_cost
CR-000232,CP-LV-C400S,5,true,none,
CR-000233,CP-DY-TP09,3,true,connectivity,connectivity
CR-000234,VS-AC-1000i,4,true,none,
CR-000235,VS-AP-8000i,5,true,none,
CR-000236,VS-AP-4000i,5,true,none,
CR-000237,CP-BB-DM5440,5,true,none,
CR-000238,CP-BB-DM5440,5,true,none,
CR-000239,VS-AP-8000i,1,false,none,
CR-000240,VS-AP-2000,5,true,none,
CR-000241,VS-AP-2000,4,true,none,
CR-000242,CP-BB-DM5440,4,true,none,
CR-000243,CP-XM-4PRO,2,true,noise,connectivity|noise
CR-000244,VS-AP-2000,2,true,noise,app_software|noise
CR-000245,CP-LV-C400S,5,true,none,
CR-000246,VS-AP-8000i,5,true,none,
CR-000247,VS-AP-4000i,2,true,app_software,app_software
CR-000248,CP-BB-DM5440,2,true,app_software,app_software|connectivity
CR-000249,VS-AP-2000,4,true,none,
CR-000250,CP-LV-C400S,5,true,none,
CR-000251,VS-AC-1000i,4,true,none,
CR-000252,VS-AC-1000i,4,true,none,
CR-000253,CP-LV-C400S,5,true,none,
CR-000254,VS-AP-8000i,4,true,none,
CR-000255,VS-AP-8000i,4,true,none,
CR-000256,VS-AP-2000,5,true,none,
CR-000257,VS-AP-8000i,5,true,none,
CR-000258,VS-AP-2000,1,true,connectivity,connectivity|reliability
CR-000259,VS-AP-3000i,2,true,connectivity,connectivity
CR-000260,VS-AP-8000i,3,true,none,
