research_id,title,authors,journal_or_publisher,year,identifier,pmid,pmcid,canonical_url,source_type,peer_reviewed,territories,retrieved_at,verification_method
RP-01,Real-World Effectiveness of Portable Air Cleaners in Reducing Home Particulate Matter Concentrations,"Lu FT, Laumbach RJ, Legard A, et al.",Aerosol and Air Quality Research,2023,10.4209/aaqr.230202,38618024,PMC11014421,https://pmc.ncbi.nlm.nih.gov/articles/PMC11014421/,PEER_REVIEWED,True,R1,2026-08-26,pubmed_mcp_get_article_metadata
RP-02,Reduction of personal PM2.5 exposure via indoor air filtration systems in Detroit: an intervention study,"Maestas MM, Brook RD, Ziemba RA, et al.",Journal of Exposure Science & Environmental Epidemiology,2018,10.1038/s41370-018-0085-2,30420725,PMC7021209,https://pmc.ncbi.nlm.nih.gov/articles/PMC7021209/,PEER_REVIEWED,True,R1,2026-08-26,pubmed_mcp_get_article_metadata
RP-03,Effectiveness of portable HEPA air cleaners on reducing indoor PM2.5 and NH3 in an agricultural cohort of children with asthma: A randomized intervention trial,"Riederer AM, Krenz JE, Tchong-French MI, et al.",Indoor Air,2021,10.1111/ina.12753,32996146,PMC8641645,https://pmc.ncbi.nlm.nih.gov/articles/PMC8641645/,PEER_REVIEWED,True,R1|R2,2026-08-26,pubmed_mcp_get_article_metadata
RP-04,"PM10, PM2.5, PM1, and PM0.1 resuspension due to human walking","Benabed A, Boulbair A","Air Quality, Atmosphere & Health",2022,10.1007/s11869-022-01201-3,35463201,PMC9015701,https://pmc.ncbi.nlm.nih.gov/articles/PMC9015701/,PEER_REVIEWED,True,R5,2026-08-26,pubmed_mcp_get_article_metadata
RP-05,Self-reported health impacts of do-it-yourself air cleaner use in a smoke-impacted community,"Turner MW, Prathibha P, Holder A, et al.",Heliyon,2024,10.1016/j.heliyon.2024.e25225,38375293,PMC10875335,https://pmc.ncbi.nlm.nih.gov/articles/PMC10875335/,PEER_REVIEWED,True,R2|R3,2026-08-26,pubmed_mcp_get_article_metadata
RP-06,Analysis of sources and sinks of indoor particulate matter reveals insights into the real-world efficacy of portable air cleaners in a randomized intervention trial,"Farhoodi S, Kang I, Jagota K, et al.",Science of the Total Environment,2025,10.1016/j.scitotenv.2025.180136,40737779,PMC13224824,https://pmc.ncbi.nlm.nih.gov/articles/PMC13224824/,PEER_REVIEWED,True,R1|R5|R6,2026-08-26,pubmed_mcp_get_article_metadata
RP-07,The impact of portable air cleaners on indoor particulate matter concentrations and perceptions of indoor air quality: a randomized crossover trial in three multifamily buildings,"Mendell AY, Lee S, Siegel JA",Journal of Exposure Science & Environmental Epidemiology,2026,10.1038/s41370-026-00894-3,42014482,,https://doi.org/10.1038/s41370-026-00894-3,PEER_REVIEWED,True,R1|R3|R6,2026-08-26,pubmed_mcp_get_article_metadata
RP-08,Indoor environmental health and asthma relief: findings from a longitudinal HEPA filter trial,"Li L, Lv X, Jia H, et al.","Journal of Environmental Science and Health, Part A",2026,10.1080/10934529.2026.2655125,41979079,,https://doi.org/10.1080/10934529.2026.2655125,PEER_REVIEWED,True,R2,2026-08-26,pubmed_mcp_get_article_metadata
RP-09,"Low-cost sensors for indoor air quality monitoring: A systematic review of accuracy, applications, and limitations","Silva G, Duarte J, Baptista JS, Rufo JC",Journal of the Air & Waste Management Association,2026,10.1080/10962247.2026.2624795,41615728,,https://doi.org/10.1080/10962247.2026.2624795,PEER_REVIEWED,True,R4,2026-08-26,pubmed_mcp_get_article_metadata
RP-10,Validating the performance of low-cost IAQ sensors through co-location,"Zaky N, Li T, Stopps H",Journal of Building Physics,2025,10.1177/17442591251367436,42095132,PMC13143174,https://pmc.ncbi.nlm.nih.gov/articles/PMC13143174/,PEER_REVIEWED,True,R4,2026-08-26,pubmed_mcp_get_article_metadata
RP-11,Toward Better and Healthier Air Quality: Global PM2.5 and O3 Pollution Status and Risk Assessment Based on the New WHO Air Quality Guidelines for 2021,"Liu J, He C, Si Y, et al.","Global Challenges (Hoboken, NJ)",2024,10.1002/gch2.202300258,38617028,PMC11009431,https://pmc.ncbi.nlm.nih.gov/articles/PMC11009431/,PEER_REVIEWED,True,R2|R5,2026-08-26,pubmed_mcp_get_article_metadata
RP-12,"A Burning Issue: Wildfire Smoke Exposure, Retail Sales, and Demand for Adaptation in Healthcare","Han J, Li S, Wang Z.",Environmental & Resource Economics,2024,10.1007/s10640-024-00925-3,,,https://ideas.repec.org/a/kap/enreec/v87y2024i11d10.1007_s10640-024-00925-3.html,PEER_REVIEWED,True,R3,2026-08-26,pubmed_mcp_get_article_metadata
TC-R01,Air Cleaners and Air Filters in the Home,U.S. Environmental Protection Agency (EPA),U.S. Environmental Protection Agency (EPA),2026,https://www.epa.gov/indoor-air-quality-iaq/air-cleaners-and-air-filters-home,,,https://www.epa.gov/indoor-air-quality-iaq/air-cleaners-and-air-filters-home,regulatory_guidance,False,R6,2026-08-26,webfetch_and_curl_archive
TC-R02,Room Air Cleaners Key Product Criteria (ENERGY STAR),U.S. EPA / ENERGY STAR,U.S. EPA / ENERGY STAR,UNDATED_LIVING_DOCUMENT,https://www.energystar.gov/products/air_purifiers_cleaners/key_product_criteria,,,https://www.energystar.gov/products/air_purifiers_cleaners/key_product_criteria,technical_standard,False,R6,2026-08-26,webfetch_and_curl_archive
TC-R03,Find a Certified Room Air Cleaner (AHAM Verifide directory),Association of Home Appliance Manufacturers (AHAM),Association of Home Appliance Manufacturers (AHAM),UNDATED_LIVING_DOCUMENT,https://ahamverifide.org/directory-of-air-cleaners/,,,https://ahamverifide.org/directory-of-air-cleaners/,industry_association,False,R6,2026-08-26,webfetch_and_curl_archive
TC-R04,List of CARB-Certified Air Cleaning Devices,California Air Resources Board (CARB),California Air Resources Board (CARB),2026,https://ww2.arb.ca.gov/list-carb-certified-air-cleaning-devices,,,https://ww2.arb.ca.gov/list-carb-certified-air-cleaning-devices,regulatory_guidance,False,R6,2026-08-26,webfetch_and_curl_archive
TC-R05,WHO Guidelines for Indoor Air Quality: Selected Pollutants,World Health Organization (WHO),World Health Organization (WHO),2010,https://www.who.int/publications/i/item/9789289002134,,,https://www.who.int/publications/i/item/9789289002134,regulatory_guidance,False,R2,2026-08-26,webfetch_and_curl_archive
TC-R07,Philips Domestic Appliances launches first all-in-one air purifier with AI technology,Versuni Newsroom,Versuni Newsroom,2022,https://www.versuni.com/newsroom/philips-domestic-appliances-launches-first-all-in-one-air-purifier-with-ai-technology/,,,https://www.versuni.com/newsroom/philips-domestic-appliances-launches-first-all-in-one-air-purifier-with-ai-technology/,manufacturer_primary,False,,2026-08-26,webfetch_and_curl_archive
TC-R08,Air Quality Sensor (Matter device type specification),Connectivity Standards Alliance (CSA-IOT),Connectivity Standards Alliance (CSA-IOT),UNDATED_LIVING_DOCUMENT,https://csa-iot.org/csa_product/air-quality-sensor/,,,https://csa-iot.org/csa_product/air-quality-sensor/,technical_standard,False,R4,2026-08-26,webfetch_and_curl_archive
TC-R09,Ecodesign for Sustainable Products Regulation - 2025-2030 working plan,European Commission (Directorate-General for Environment),European Commission (Directorate-General for Environment),2025,https://green-forum.ec.europa.eu/news/2025-2030-working-plan-2025-07-11_en,,,https://green-forum.ec.europa.eu/news/2025-2030-working-plan-2025-07-11_en,regulatory_guidance,False,R6,2026-08-26,webfetch_and_curl_archive
TC-R11,Dyson launches air purifier with new sensing technology to destroy potentially dangerous indoor pollutants,Dyson Newsroom,Dyson Newsroom,2021,https://www.dyson.com.sg/newsroom/new-air-purification,,,https://www.dyson.com.sg/newsroom/new-air-purification,manufacturer_primary,False,,2026-08-26,webfetch_and_curl_archive
